Data;Custo
01/03/1986;1682.33
01/04/1986;1712.9
01/05/1986;1737.75
01/06/1986;1767.32
01/07/1986;1783.61
01/08/1986;1786.09
01/09/1986;1842.31
01/10/1986;1923.56
01/11/1986;2042.08
01/12/1986;2215.43
01/01/1987;2822.78
01/02/1987;3099.5
01/03/1987;3821.22
01/04/1987;4527.21
01/05/1987;5431.39
01/06/1987;6247.78
01/07/1987;6651.3
01/08/1987;6917.4
01/09/1987;7616.06
01/10/1987;8077.5
01/11/1987;8959.28
01/12/1987;10140.57
01/01/1988;12292.55
01/02/1988;14276.96
01/03/1988;16859.74
01/04/1988;20330.17
01/05/1988;23512.73
01/06/1988;28227.39
01/07/1988;33305.02
01/08/1988;42552.68
01/09/1988;51744.48
01/10/1988;67071.67
01/11/1988;86198.98
01/12/1988;116574.02
01/01/1989;164
01/02/1989;170.42
01/03/1989;175.93
01/04/1989;186.77
01/05/1989;211.14
01/06/1989;283.79
01/07/1989;378.36
01/08/1989;621.26
01/09/1989;816.69
01/10/1989;1117.29
01/11/1989;1616.07
01/12/1989;2464.35
01/01/1990;3650.79
01/02/1990;6215.26
01/03/1990;11129.93
01/04/1990;12792.46
01/05/1990;12842.98
01/06/1990;13293.25
01/07/1990;14899.77
01/08/1990;16596.26
01/09/1990;18246.77
01/10/1990;20773.84
01/11/1990;22008.66
01/12/1990;27552.93
01/01/1991;31426.74
01/02/1991;35867.68
01/03/1991;37065
01/04/1991;40836.25
01/05/1991;45282.52
01/06/1991;49227.17
01/07/1991;57653.38
01/08/1991;66888.08
01/09/1991;79957.92
01/10/1991;105422.53
01/11/1991;128881.73
01/12/1991;161792.75
01/01/1992;196544.98
01/02/1992;246849.41
01/03/1992;332524.91
01/04/1992;397940.99
01/05/1992;461306.06
01/06/1992;602631.86
01/07/1992;684828.98
01/08/1992;816957.01
01/09/1992;1020870.6
01/10/1992;1323691.96
01/11/1992;1635205.2
01/12/1992;2024912.21
01/01/1993;2482403.29
01/02/1993;3496845.37
01/03/1993;4225769.36
01/04/1993;5410813.7
01/05/1993;6609992.07
01/06/1993;9151488.27
01/07/1993;10838387.33
01/08/1993;14603.58
01/09/1993;19497.46
01/10/1993;29057.37
01/11/1993;38722.35
01/12/1993;51372.03
01/01/1994;69825.76
01/02/1994;102383.54
01/03/1994;147701.76
01/04/1994;225473.91
01/05/1994;326437.92
01/06/1994;482685.78
01/07/1994;224.13
01/08/1994;222.34
01/09/1994;220.1
01/10/1994;223.79
01/11/1994;227.72
01/12/1994;231.56
01/01/1995;233.64
01/02/1995;234.78
01/03/1995;236.37
01/04/1995;238.5
01/05/1995;241.16
01/06/1995;242.71
01/07/1995;244.31
01/08/1995;247.12
01/09/1995;248.95
01/10/1995;270.51
01/11/1995;269.39
01/12/1995;271.52
01/01/1996;271.57
01/02/1996;271.36
01/03/1996;271.9
01/04/1996;270.81
01/05/1996;270.54
01/06/1996;270.43
01/07/1996;270.95
01/08/1996;271.56
01/09/1996;270.81
01/10/1996;273.69
01/11/1996;288.11
01/12/1996;285.84
01/01/1997;287.97
01/02/1997;288.87
01/03/1997;289.42
01/04/1997;287.66
01/05/1997;287.08
01/06/1997;286.01
01/07/1997;283.33
01/08/1997;283.24
01/09/1997;280.74
01/10/1997;280.97
01/11/1997;285.93
01/12/1997;288.01
01/01/1998;284.23
01/02/1998;285.61
01/03/1998;285.58
01/04/1998;288.59
01/05/1998;287.29
01/06/1998;285.38
01/07/1998;287.02
01/08/1998;287.08
01/09/1998;286.78
01/10/1998;287.05
01/11/1998;285.51
01/12/1998;286.57
01/01/1999;242.55
01/02/1999;246.37
01/03/1999;246.78
01/04/1999;249.94
01/05/1999;249.83
01/06/1999;249.71
01/07/1999;250.43
01/08/1999;252.13
01/09/1999;252.66
01/10/1999;252.58
01/11/1999;262.58
01/12/1999;266.04
01/01/2000;269.98
01/02/2000;271.03
01/03/2000;274.24
01/04/2000;274.88
01/05/2000;274.87
01/06/2000;274.57
01/07/2000;275.58
01/08/2000;277.98
01/09/2000;279.1
01/10/2000;281.14
01/11/2000;289.75
01/12/2000;292.56
01/01/2001;295.03
01/02/2001;294.77
01/03/2001;297.88
01/04/2001;297.98
01/05/2001;300.3
01/06/2001;301.59
01/07/2001;304.18
01/08/2001;306.18
01/09/2001;308.54
01/10/2001;319.13
01/11/2001;321.67
01/12/2001;324.1
01/01/2002;325.97
01/02/2002;327.09
01/03/2002;328.51
01/04/2002;329.01
01/05/2002;329.38
01/06/2002;330.03
01/07/2002;331.61
01/08/2002;333.25
01/09/2002;335.22
01/10/2002;339.85
01/11/2002;357.4
01/12/2002;366
01/01/2003;373.65
01/02/2003;377.75
01/03/2003;379.8
01/04/2003;381.91
01/05/2003;384.48
01/06/2003;387.87
01/07/2003;388.31
01/08/2003;388.88
01/09/2003;389.71
01/10/2003;391.96
01/11/2003;409.49
01/12/2003;410.49
01/01/2004;411.78
01/02/2004;414.71
01/03/2004;417.23
01/04/2004;422.32
01/05/2004;425.77
01/06/2004;430
01/07/2004;432.55
01/08/2004;439.59
01/09/2004;443.28
01/10/2004;447.13
01/11/2004;466.72
01/12/2004;470.84
01/01/2005;471.62
01/02/2005;475.61
01/03/2005;478.42
01/04/2005;479.78
01/05/2005;481.12
01/06/2005;483.07
01/07/2005;484.96
01/08/2005;485.65
01/09/2005;486.25
01/10/2005;487.49
01/11/2005;488.62
01/12/2005;501.22
01/01/2006;502.08
01/02/2006;502.44
01/03/2006;503.57
01/04/2006;504.12
01/05/2006;505.16
01/06/2006;506.4
01/07/2006;508.22
01/08/2006;509.46
01/09/2006;511.17
01/10/2006;513.91
01/11/2006;524.28
01/12/2006;527.24
01/01/2007;528.42
01/02/2007;531
01/03/2007;531.57
01/04/2007;533.88
01/05/2007;535.69
01/06/2007;536.75
01/07/2007;539.12
01/08/2007;542.28
01/09/2007;544.58
01/10/2007;555.89
01/11/2007;558.78
01/12/2007;559.4
01/01/2008;560.53
01/02/2008;563.5
01/03/2008;565.07
01/04/2008;568.44
01/05/2008;570.94
01/06/2008;576.49
01/07/2008;581.2
01/08/2008;589.24
01/09/2008;598.21
01/10/2008;604.79
01/11/2008;631.31
01/12/2008;633.33
01/01/2009;637.09
01/02/2009;639.76
01/03/2009;641.24
01/04/2009;641.76
01/05/2009;642.6
01/06/2009;642.89
01/07/2009;647.57
01/08/2009;647.96
01/09/2009;650.54
01/10/2009;671.48
01/11/2009;672.1
01/12/2009;673.16
01/01/2010;673.77
01/02/2010;675.28
01/03/2010;675.64
01/04/2010;676.02
01/05/2010;677.15
01/06/2010;680.23
01/07/2010;681.73
01/08/2010;682.21
01/09/2010;683.24
01/10/2010;713.39
01/11/2010;714.14
01/12/2010;715.7
01/01/2011;717.31
01/02/2011;719.76
01/03/2011;721.58
01/04/2011;723.37
01/05/2011;723.52
01/06/2011;725.23
01/07/2011;725.2
01/08/2011;725.54
01/09/2011;726.43
01/10/2011;727.54
01/11/2011;756.6
01/12/2011;757.4
01/01/2012;757.87
01/02/2012;758.32
01/03/2012;758.82
01/04/2012;762.28
01/05/2012;763.89
01/06/2012;765.13
01/07/2012;764.83
01/08/2012;758.45
01/09/2012;758.92
01/10/2012;760
01/11/2012;763.56
01/12/2012;788.22
01/01/2013;788.17
01/02/2013;788.81
01/03/2013;790.9
01/04/2013;791.79
01/05/2013;746.71
01/06/2013;792.95
01/07/2013;747.19
01/08/2013;751.37
01/09/2013;756.1
01/10/2013;759.37
01/11/2013;760.26
01/12/2013;791.2
01/01/2014;794.88
01/02/2014;798.27
01/03/2014;800.59
01/04/2014;808.77
01/05/2014;813.75
01/06/2014;816.58
01/07/2014;817.89
01/08/2014;824.79
01/09/2014;823.97
01/10/2014;824.43
01/11/2014;857.23
01/12/2014;854.88
01/01/2015;857.46
01/02/2015;854.07
01/03/2015;851.05
01/04/2015;848.94
01/05/2015;847.2
01/06/2015;847.55
01/07/2015;848.34
01/08/2015;850.75
01/09/2015;855.55
01/10/2015;854.68
01/11/2015;858.69
01/12/2015;858.4
01/01/2016;862.94
01/02/2016;905.32
01/03/2016;904.15
01/04/2016;905.66
01/05/2016;909.39
01/06/2016;908.83
01/07/2016;910.66
01/08/2016;908.23
01/09/2016;907.75
01/10/2016;909.03
01/11/2016;931.47
01/12/2016;935.26
01/01/2017;956.54
01/02/2017;957.16
01/03/2017;956.98
01/04/2017;957.11
01/05/2017;955.41
01/06/2017;955.89
01/07/2017;952.53
01/08/2017;955.01
01/09/2017;957.34
01/10/2017;958.46
01/11/2017;971.01
01/12/2017;976.72
01/01/2018;976.64
01/02/2018;981.31
01/03/2018;987.27
01/04/2018;987.86
01/05/2018;995.63
01/06/2018;1008.47
